Application,current,cost,pnl
Binance TH,249224.74,247717.8046704928,1506.9353295071924
Dime,1201135.9193,1136528.8424964086,64607.076803591335
Gold Now,88086.91,89991.0,-1904.0899999999965
Kbank,129100.0,129100.0,0.0
SCB Fund Click,511747.51,497208.2264743409,14539.28352565912
SCB InvestX,571407.2334,831428.8361777625,-260021.60277776245
